,property_type,price,room_type,accommodates,wifi,parking,elevator,laundry,pool,bar,restaurant,gym,media_entertainment,air_conditioning,country
0,Resort,3167.0,room,5,0,0,0,0,0,0,1,0,1,0,India
1,Hotel,815.0,room,4,0,1,0,0,0,0,0,0,0,1,India
2,Hotel,1624.0,room,4,0,1,0,0,0,0,0,0,0,1,India
3,Hotel,3509.0,room,3,1,1,0,0,0,0,1,1,1,1,India
4,Hotel,5802.0,room,4,1,0,0,0,0,0,1,0,1,1,India
5,Hotel,1400.0,room,4,1,0,0,0,0,0,1,0,1,1,India
6,Hotel,4062.0,room,4,1,0,0,0,0,0,1,0,0,0,India
7,Resort,2878.0,entire_home,3,0,0,0,0,0,0,1,0,1,1,India
8,Hotel,979.0,room,4,1,0,0,0,0,0,0,0,1,1,India
9,Hotel,2445.0,room,4,0,1,0,0,0,0,1,0,0,1,India
10,House,1039.0,room,4,1,1,0,0,0,0,0,0,1,1,India
11,Hotel,2809.0,room,4,0,0,0,0,0,0,0,0,1,1,India
12,Hotel,950.0,room,4,0,0,0,0,0,0,0,0,1,1,India
13,Hotel,756.0,room,4,0,0,0,0,0,0,1,0,1,1,India
14,Hotel,3986.0,room,3,1,1,1,0,1,1,1,0,1,0,India
15,Homestay,1134.0,room,4,1,0,0,0,0,0,0,0,1,0,India
16,Hotel,2237.0,room,4,0,0,0,0,0,0,1,0,1,0,India
17,Hotel,889.0,room,4,0,0,0,0,0,0,0,0,0,1,India
18,Lodge,473.0,room,2,1,0,1,0,0,0,0,0,0,1,India
19,Hotel,865.0,room,2,0,1,0,0,0,0,0,0,0,1,India
20,Hotel,1417.0,room,3,0,1,0,0,0,0,0,0,0,1,India
21,House,445.0,room,3,0,0,0,0,0,0,0,0,1,1,India
22,House,2667.0,entire_home,4,1,0,0,0,0,0,0,0,0,0,India
23,Hotel,834.0,room,4,0,0,0,0,0,0,0,0,1,1,India
24,Villa,1179.0,room,4,1,0,0,0,0,0,1,0,0,1,India
25,Hotel,307.0,room,2,1,1,0,0,0,0,0,0,0,1,India
26,House,756.0,room,4,1,1,0,0,0,0,0,0,0,0,India
27,Hotel,1112.0,room,4,0,1,1,0,0,0,0,0,0,1,India
28,Hotel,6864.0,room,3,0,0,0,0,0,0,1,0,1,0,India
29,Hotel,400.0,room,2,0,0,0,0,0,0,0,0,1,1,India
30,Hotel,473.0,room,4,0,0,0,0,0,0,1,0,1,0,India
31,Hotel,500.0,room,4,0,0,0,0,0,0,0,0,1,0,India
32,Hotel,500.0,room,4,0,0,0,0,0,0,1,0,0,1,India
33,Hotel,1569.0,room,4,0,0,0,0,0,0,1,0,1,1,India
34,Hotel,2323.0,room,4,0,0,0,0,0,1,1,0,1,1,India
35,Hotel,723.0,room,2,0,0,0,0,0,0,0,0,1,1,India
36,Hotel,1156.0,room,2,0,0,0,0,0,0,1,0,1,1,India
37,Resort,1250.0,room,4,0,1,0,0,0,0,0,0,1,1,India
38,Resort,1067.0,room,4,0,1,0,0,0,0,0,0,0,0,India
